rbd;program_code;lat;lon;total_capacity;total_admission_seats;integration_student_seats;priority_student_seats;high_selectivity_seats_transitional;high_selectivity_seats_ranking;regular_seats;true_applicants_last_year;calibration_2024_imputed;calibration_2024_imputation_method;program_lottery_population_2024;priority_share_priority_sibling_2024;cum_share_before_priority_sibling_2024;cum_share_through_priority_sibling_2024;priority_share_priority_student_2024;cum_share_before_priority_student_2024;cum_share_through_priority_student_2024;priority_share_priority_parent_civil_servant_2024;cum_share_before_priority_parent_civil_servant_2024;cum_share_through_priority_parent_civil_servant_2024;priority_share_priority_ex_student_2024;cum_share_before_priority_ex_student_2024;cum_share_through_priority_ex_student_2024;priority_share_no_priority_2024;cum_share_before_no_priority_2024;cum_share_through_no_priority_2024
1;131000000133;-18,48701;-70,29498;315;301;0;48;0;0;253;246;TRUE;"mapped_1_to_1_from_2024_source_programs:131000000131;population_and_priority_distribution_mapped";508;0.0787401574803;0;0.0787401574803;0.0885826771654;0.0787401574803;0.167322834646;0;0.167322834646;0.167322834646;0;0.167322834646;0.167322834646;0.832677165354;0.167322834646;1
4;131000000133;-18,47424;-70,30826;280;280;0;42;0;0;238;786;FALSE;observed_2024_program_match;1142;0.0551663748;0;0.0551663748;0.0367775832;0.0551663748;0.091943958;0.003502627;0.091943958;0.0954465849;0;0.0954465849;0.0954465849;0.9045534151;0.0954465849;1
5;131000000133;-18,47691;-70,31345;120;94;0;4;0;0;90;241;FALSE;observed_2024_program_match;528;0.0454545455;0;0.0454545455;0.0265151515;0.0454545455;0.071969697;0.0018939394;0.071969697;0.0738636364;0.0037878788;0.0738636364;0.0776515152;0.9223484848;0.0776515152;1
7;131000000133;-18,47615;-70,28837;350;330;0;53;0;0;277;152;FALSE;observed_2024_program_match;471;0.1040339703;0;0.1040339703;0.1040339703;0.1040339703;0.2080679406;0.0021231423;0.2080679406;0.2101910828;0;0.2101910828;0.2101910828;0.7898089172;0.2101910828;1
8;131000000133;-18,48249;-70,31758;200;161;0;9;0;0;152;62;FALSE;observed_2024_program_match;165;0.0303030303;0;0.0303030303;0.1454545455;0.0303030303;0.1757575758;0;0.1757575758;0.1757575758;0.0121212121;0.1757575758;0.1878787879;0.8121212121;0.1878787879;1
25;131000000133;-18,4402261;-70,2930691;72;20;0;0;0;0;20;24;FALSE;observed_2024_program_match;77;0.012987013;0;0.012987013;0.038961039;0.012987013;0.0519480519;0;0.0519480519;0.0519480519;0.0649350649;0.0519480519;0.1168831169;0.8831168831;0.1168831169;1
32;131000000133;-18,51926;-70,17874;63;26;0;0;0;0;26;12;FALSE;observed_2024_program_match;56;0.0357142857;0;0.0357142857;0.0535714286;0.0357142857;0.0892857143;0.0178571429;0.0892857143;0.1071428571;0;0.1071428571;0.1071428571;0.8928571429;0.1071428571;1
45;131000000113;-18,4830605;-70,31430183;80;21;0;0;0;0;21;33;FALSE;observed_2024_program_match;64;0.015625;0;0.015625;0.046875;0.015625;0.0625;0;0.0625;0.0625;0.03125;0.0625;0.09375;0.90625;0.09375;1
50;131000000133;-18,49367;-70,26679;45;2;0;0;0;0;2;55;FALSE;observed_2024_program_match;114;0.0350877193;0;0.0350877193;0;0.0350877193;0.0350877193;0;0.0350877193;0.0350877193;0;0.0350877193;0.0350877193;0.9649122807;0.0350877193;1
52;131000000133;-18,468357;-70,303024;540;312;0;0;0;0;312;260;FALSE;observed_2024_program_match;610;0.0704918033;0;0.0704918033;0.0754098361;0.0704918033;0.1459016393;0;0.1459016393;0.1459016393;0.0295081967;0.1459016393;0.1754098361;0.8245901639;0.1754098361;1
