rbd,program_code,program_track,program_specialty_sector,program_specialty_name,program_gender,program_school_day
1,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
4,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
5,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
7,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
8,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
25,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
32,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
45,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
50,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
52,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
56,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
60,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
67,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
72,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
78,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
97,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
106,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
107,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
108,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
109,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
110,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
110,131000000233,General,General academic,Ciclo General / Sin información,Mixed,Full day
124,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
125,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
127,131000000111,General,General academic,Ciclo General / Sin información,Girls,Morning
129,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
130,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
131,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
132,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
133,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
134,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
144,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
161,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
178,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
191,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
199,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
200,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
208,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
211,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
217,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
218,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
219,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
220,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
253,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
254,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
255,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
256,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
268,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
270,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
279,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
280,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
283,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
284,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
285,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
286,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
287,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
304,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
329,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
335,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
336,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
337,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
341,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
342,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
344,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
350,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
356,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
367,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
371,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
372,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
373,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
379,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
384,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
392,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
396,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
399,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
400,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
420,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
429,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
430,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
431,131000000113,General,General academic,Ciclo General / Sin información,Girls,Full day
433,131000000131,General,General academic,Ciclo General / Sin información,Mixed,Morning
437,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
438,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
440,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
441,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
448,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
449,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
478,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
479,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
486,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
516,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
517,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
518,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
521,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
523,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
526,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
530,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
535,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
536,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
565,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
567,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
568,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
570,131000000133,General,General academic,Ciclo General / Sin información,Mixed,Full day
