rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee;program_latitude;program_longitude;program_geo_source;program_geo_match_level;school_capacity_lat;school_capacity_lon;school_capacity_region_full;school_capacity_province;school_capacity_cupos_totales;school_capacity_vacantes;school_capacity_vacantes_prioritarios;school_capacity_vacantes_regular;coordinate_discrepancy_km
341;COLEGIO ADVENTISTA DE ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000131;341_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Autre;ADVENTISTA DEL 7° DÍA;821;328;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;16;16;0;0;210;2.5000;-23,633221;-70,394981;-23.63322;-70.39498;school_capacity_with_region_and_province;exact_rbd_program_code;-23.63322;-70.39498;Región de Antofagasta;Antofagasta;84.0;10.0;0.0;10.0;0
12800;COLEGIO BAUTISTA LOIS HART;ANTOFAGASTA;ANTOF;131000000133;12800_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;605;196;0;Oui;Non;;0;Fonctionne;Avec matrícula;56;7;7;0;0;103;1.8393;-23,660311;-70,397507;-23.66031;-70.39751;school_capacity_with_region_and_province;exact_rbd_program_code;-23.66031;-70.39751;Región de Antofagasta;Antofagasta;53.0;10.0;0.0;10.0;0
356;COLEGIO CORAZON DE MARIA;ANTOFAGASTA;ANTOF;131000000133;356_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;1110;318;0;Oui;Non;;0;Fonctionne;Avec matrícula;81;0;0;0;0;273;3.3704;-23,657869;-70,397011;-23.65787;-70.39701;school_capacity_with_region_and_province;exact_rbd_program_code;-23.65787;-70.39701;Región de Antofagasta;Antofagasta;80.0;0.0;0.0;0.0;0
12868;COLEGIO EBEN EZER;ANTOFAGASTA;ANTOF;131000000133;12868_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;1278;390;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;38;38;0;0;161;1.1926;-23,572321;-70,383591;-23.5725974;-70.3854122;school_capacity_with_region_and_province;exact_rbd_program_code;-23.5725974;-70.3854122;Región de Antofagasta;Antofagasta;135.0;39.0;0.0;39.0;0.188
342;COLEGIO INGLES SAN JOSE;ANTOFAGASTA;ANTOF;131000000133;342_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;1343;321;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;4;4;0;0;192;2.4000;-23,665331;-70,400368;-23.66533;-70.40036;school_capacity_with_region_and_province;exact_rbd_program_code;-23.66533;-70.40036;Región de Antofagasta;Antofagasta;80.0;0.0;0.0;0.0;0.001
350;COLEGIO LIDIA MORENO;ANTOFAGASTA;ANTOF;131000000131;350_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;749;293;0;Oui;Non;;0;Fonctionne;Avec matrícula;64;12;12;0;0;161;2.5156;-23,656691;-70,397247;-23.65669;-70.39724;school_capacity_with_region_and_province;exact_rbd_program_code;-23.65669;-70.39724;Región de Antofagasta;Antofagasta;63.0;14.0;0.0;14.0;0.001
335;COLEGIO MISIONERO JOSE LANCASTER;ANTOFAGASTA;ANTOF;131000000133;335_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;621;175;0;Oui;Non;;0;Fonctionne;Avec matrícula;83;44;44;0;0;51;0.6145;-23,660089;-70,389359;-23.66082;-70.39073;school_capacity_with_region_and_province;exact_rbd_program_code;-23.66082;-70.39073;Región de Antofagasta;Antofagasta;45.0;7.0;0.0;7.0;0.162
12837;COLEGIO PARTICULAR BET- EL;ANTOFAGASTA;ANTOF;131000000133;12837_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;876;251;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;16;16;0;0;151;1.7976;-23,57671;-70,380257;-23.57671;-70.38026;school_capacity_with_region_and_province;exact_rbd_program_code;-23.57671;-70.38026;Región de Antofagasta;Antofagasta;80.0;23.0;0.0;23.0;0
12935;COLEGIO PROVIDENCIA;ANTOFAGASTA;ANTOF;131000000133;12935_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$10.001 A $25.000;Catholique;;982;310;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;27;27;0;0;148;1.8500;-23,6448;-70,390244;-23.38413;-70.23249;school_capacity_with_region_and_province;exact_rbd_program_code;-23.38413;-70.23249;Región de Antofagasta;Antofagasta;80.0;17.0;0.0;17.0;33.149
12885;COLEGIO SAN AGUSTIN;ANTOFAGASTA;ANTOF;131000000133;12885_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;1612;468;0;Oui;Non;;0;Fonctionne;Avec matrícula;117;3;3;0;0;263;2.2479;-23,59144;-70,396049;-23.59144;-70.39605;school_capacity_with_region_and_province;exact_rbd_program_code;-23.59144;-70.39605;Región de Antofagasta;Antofagasta;118.0;6.0;0.0;6.0;0
