rbd,Region
1,Región de Arica y Parinacota
4,Región de Arica y Parinacota
5,Región de Arica y Parinacota
7,Región de Arica y Parinacota
8,Región de Arica y Parinacota
25,Región de Arica y Parinacota
32,Región de Arica y Parinacota
45,Región de Arica y Parinacota
50,Región de Arica y Parinacota
52,Región de Arica y Parinacota
56,Región de Arica y Parinacota
60,Región de Arica y Parinacota
67,Región de Arica y Parinacota
78,Región de Arica y Parinacota
97,Región de Tarapacá
106,Región de Tarapacá
107,Región de Tarapacá
108,Región de Tarapacá
109,Región de Tarapacá
110,Región de Tarapacá
124,Región de Tarapacá
125,Región de Tarapacá
127,Región de Tarapacá
129,Región de Tarapacá
130,Región de Tarapacá
131,Región de Tarapacá
132,Región de Tarapacá
133,Región de Tarapacá
134,Región de Tarapacá
144,Región de Tarapacá
161,Región de Tarapacá
178,Región de Tarapacá
191,Región de Tarapacá
199,Región de Antofagasta
200,Región de Antofagasta
208,Región de Antofagasta
211,Región de Antofagasta
217,Región de Antofagasta
218,Región de Antofagasta
219,Región de Antofagasta
220,Región de Antofagasta
253,Región de Antofagasta
254,Región de Antofagasta
255,Región de Antofagasta
256,Región de Antofagasta
268,Región de Tarapacá
270,Región de Antofagasta
279,Región de Antofagasta
280,Región de Antofagasta
283,Región de Antofagasta
284,Región de Antofagasta
285,Región de Antofagasta
286,Región de Antofagasta
287,Región de Antofagasta
304,Región de Antofagasta
329,Región de Antofagasta
335,Región de Antofagasta
336,Región de Antofagasta
337,Región de Antofagasta
341,Región de Antofagasta
342,Región de Antofagasta
344,Región de Antofagasta
350,Región de Antofagasta
356,Región de Antofagasta
367,Región de Antofagasta
371,Región de Antofagasta
372,Región de Antofagasta
373,Región de Antofagasta
379,Región de Atacama
384,Región de Atacama
392,Región de Atacama
396,Región de Atacama
399,Región de Atacama
400,Región de Atacama
420,Región de Atacama
429,Región de Atacama
430,Región de Atacama
431,Región de Atacama
433,Región de Atacama
437,Región de Atacama
438,Región de Atacama
440,Región de Atacama
441,Región de Atacama
448,Región de Atacama
449,Región de Atacama
478,Región de Atacama
479,Región de Atacama
486,Región de Atacama
516,Región de Coquimbo
517,Región de Coquimbo
518,Región de Coquimbo
521,Región de Coquimbo
523,Región de Coquimbo
526,Región de Coquimbo
530,Región de Coquimbo
535,Región de Coquimbo
536,Región de Coquimbo
565,Región de Coquimbo
567,Región de Coquimbo
568,Región de Coquimbo
570,Región de Coquimbo
573,Región de Coquimbo
574,Región de Coquimbo
575,Región de Coquimbo
578,Región de Coquimbo
579,Región de Coquimbo
583,Región de Coquimbo
589,Región de Coquimbo
597,Región de Coquimbo
599,Región de Atacama
609,Región de Coquimbo
