rbd;nom_lycee;commune;region;program_code;numero_unique;nom_programme_reconstruit;niveau;enseignement;type_formation;cod_espe;specialite_si_applicable;secteur_specialite_si_applicable;jornada;genre_programme;dependance;dependance_agregee;ruralite;convenio_pie;pace;paiement_matricula;paiement_mensualite;orientation_religieuse;orientation_religieuse_autre_detail;matricula_total_lycee;matricula_media_hc_jovenes;matricula_media_tp_jovenes;lycee_offre_hc_jovenes;lycee_offre_tp_jovenes;lycee_codes_specialites_annuaire;lycee_nb_specialites_annuaire;etat_etablissement;etablissement_avec_matricula;capacite_totale_programme;sieges_admission_total;sieges_reguliers;sieges_priority_student;sieges_integration;candidats_annee_precedente;ratio_demande_capacite_annee_precedente;lat_lycee;lon_lycee
341;COLEGIO ADVENTISTA DE ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000131;341_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Autre;ADVENTISTA DEL 7° DÍA;821;328;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;16;16;0;0;210;2.5000;-23,633221;-70,394981
12800;COLEGIO BAUTISTA LOIS HART;ANTOFAGASTA;ANTOF;131000000133;12800_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;605;196;0;Oui;Non;;0;Fonctionne;Avec matrícula;56;7;7;0;0;103;1.8393;-23,660311;-70,397507
356;COLEGIO CORAZON DE MARIA;ANTOFAGASTA;ANTOF;131000000133;356_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;1110;318;0;Oui;Non;;0;Fonctionne;Avec matrícula;81;0;0;0;0;273;3.3704;-23,657869;-70,397011
12868;COLEGIO EBEN EZER;ANTOFAGASTA;ANTOF;131000000133;12868_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;$50.001 A $100.000;Évangélique;;1278;390;0;Oui;Non;;0;Fonctionne;Avec matrícula;135;38;38;0;0;161;1.1926;-23,572321;-70,383591
342;COLEGIO INGLES SAN JOSE;ANTOFAGASTA;ANTOF;131000000133;342_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;1343;321;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;4;4;0;0;192;2.4000;-23,665331;-70,400368
350;COLEGIO LIDIA MORENO;ANTOFAGASTA;ANTOF;131000000131;350_131000000131;1º medio — Général H-C — Mixte — jornada mañana;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Mañana;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;$50.001 A $100.000;Catholique;;749;293;0;Oui;Non;;0;Fonctionne;Avec matrícula;64;12;12;0;0;161;2.5156;-23,656691;-70,397247
335;COLEGIO MISIONERO JOSE LANCASTER;ANTOFAGASTA;ANTOF;131000000133;335_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;621;175;0;Oui;Non;;0;Fonctionne;Avec matrícula;83;44;44;0;0;51;0.6145;-23,660089;-70,389359
12837;COLEGIO PARTICULAR BET- EL;ANTOFAGASTA;ANTOF;131000000133;12837_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;Gratuit;Gratuit;Évangélique;;876;251;0;Oui;Non;;0;Fonctionne;Avec matrícula;84;16;16;0;0;151;1.7976;-23,57671;-70,380257
12935;COLEGIO PROVIDENCIA;ANTOFAGASTA;ANTOF;131000000133;12935_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;$10.001 A $25.000;Catholique;;982;310;0;Oui;Non;;0;Fonctionne;Avec matrícula;80;27;27;0;0;148;1.8500;-23,6448;-70,390244
12885;COLEGIO SAN AGUSTIN;ANTOFAGASTA;ANTOF;131000000133;12885_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Sans PIE;Sans PACE;$1.000 A $10.000;MAS DE $100.000;Catholique;;1612;468;0;Oui;Non;;0;Fonctionne;Avec matrícula;117;3;3;0;0;263;2.2479;-23,59144;-70,396049
31342;COLEGIO SAN LUCAS EVANGELISTA DE ANTOFAGASTA;ANTOFAGASTA;ANTOF;131000000133;31342_131000000133;1º medio — Général H-C — Mixte — jornada completa;1º medio;Enseñanza Media H-C niños y jóvenes;Général H-C;00000;;;Completa;Mixte;Particulier subventionné;Particulier subventionné;Urbain;Avec PIE;Sans PACE;Gratuit;MAS DE $100.000;Catholique;;941;264;0;Oui;Non;;0;Fonctionne;Avec matrícula;108;52;50;2;0;194;1.7963;-23,65064;-70,394608
